filename,family,genus,species
2818799523.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2456542586.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1703143799.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1703124931.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1572368213.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2826274188.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2294464179.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3017940486.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2851022723.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283050231.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2814451884.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3017968485.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2242897037.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2850603591.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2814446467.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1890670843.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2823367469.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1990468310.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1562934406.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1621791108.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283020826.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2813975874.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2563595563.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2311408615.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283022232.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2823291324.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1563429193.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2818505918.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2882954410.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1899777188.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2802618220.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2445074380.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018137441.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3031668784.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018098446.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2802797749.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2641403534.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2813924506.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2294506705.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2862302330.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1948782093.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2445128363.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2813975782.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3005204158.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3005105582.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2350393870.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2901810310.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2610989523.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3005186034.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2802945147.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1453536894.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2814088717.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2826167576.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2423129400.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2823158625.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2549963797.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3017961513.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2397705499.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283011587.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283024925.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2814137558.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3017956481.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1880617690.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2826543025.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1453103434.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2813994403.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1227732920.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2550065765.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1836679844.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1703145550.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283222711.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2802782451.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2898332905.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2574133208.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2445113439.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2823396546.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3005163372.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1291158722.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2814257514.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1305162820.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3017976351.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2311381489.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2540736087.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2550048539.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2868111437.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2265821203.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018058469.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1890077178.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283122109.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2283362628.jpg,Bombycidae,Olceclostera,Olceclostera angelica
3018069801.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2574116026.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2294631845.jpg,Bombycidae,Olceclostera,Olceclostera angelica
1891290708.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2574194994.jpg,Bombycidae,Olceclostera,Olceclostera angelica
2603472778.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1500341957.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2283207414.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868102555.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2265900235.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2826148113.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2005376142.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2860064843.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2242806501.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2557637918.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868253384.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868300338.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1913179744.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294509926.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1883530675.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2823074242.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2856520520.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2862381567.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2826217080.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868102502.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868261677.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868309416.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2251933805.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294610140.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868156475.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1848784972.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294592266.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2851219782.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2823144045.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2013734348.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2445035342.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2311397108.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868321459.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1920789643.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868232510.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868364417.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2540735797.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868200492.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1891309331.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294543734.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2641329669.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2850693485.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1990563319.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2873859491.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2814096201.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2823276143.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868339347.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1850965380.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1898828461.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294520187.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868354343.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2251916479.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2445101331.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1890084121.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1913695585.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868182393.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868082520.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2802722315.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1901047775.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2856710508.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2859901083.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2813891255.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
3005198048.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1571164744.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868262334.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2859949818.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2397660734.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868165342.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2423043290.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1453098635.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2826330694.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1586155496.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1668827965.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2366075491.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868141227.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1913187944.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1584432115.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2826278195.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1586154472.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868230413.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1945436227.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2864649740.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868360492.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2366143029.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2283033190.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2283375614.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1891310293.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2634049363.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2283037577.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2826366897.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1901062114.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2802623051.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868171472.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2856491562.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1621798088.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868361448.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2873931463.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2818571940.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2860153933.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1946334545.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2826416207.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2445125327.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1580495607.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2864841883.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2445003341.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2826322641.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2823331583.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2005386239.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2423232456.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2265852671.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2862498138.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1914324648.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
3067587835.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2873750441.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1891310976.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868259391.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2818745769.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1898807995.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2444976370.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868144441.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868083334.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2864658166.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2366093485.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868138459.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2850653293.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1699387174.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1883956877.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2856793522.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2283023664.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2626115296.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2851280413.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2862338138.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2423203354.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1703140151.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2540736236.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2862293119.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
3018081904.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2873956457.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868113402.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868126343.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2366155692.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1890676666.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868364460.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2981078879.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1890061362.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2814159350.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2862574251.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294480777.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1640074536.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2826242050.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868244608.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868218363.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2850834939.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2619894402.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294456470.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2252047047.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2856655562.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868125423.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2814141342.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
3018082512.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2859893042.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2423002037.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294656234.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2823127262.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2626565306.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2422887930.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1899765214.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2856501123.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1640047506.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868196341.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2898518883.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2252050592.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2597695452.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1898819885.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2294564146.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868095407.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
3070265173.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1668841849.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2252040628.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1584410876.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2283264284.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
1880624184.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2864709944.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2868218423.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2823157914.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
3018069682.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
2445117444.jpg,Apatelodidae,Apatelodes,Apatelodes torrefacta
